鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路一段１６１之２號十九樓之２,6.91,都市：其他:住宅區,,,1101002,土地1建物1車位1,十九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820824,92.66999999999999,4,2,2,有,有,5000000,53955,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSKIIGGFHH48EA,60.92,8.71,0.0,有,
平鎮區,房地(土地+建物),桃園市平鎮區環南路三段１９５號十四樓,10.98,都市：其他:住宅區,,,1100828,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930701,107.11,3,2,2,有,有,6650000,62086,,0.0,0,陽台外推；其他增建；,RPOPMLOKIIGGFGH08EA,63.05,16.54,0.0,有,412.0
平鎮區,房地(土地+建物),桃園市平鎮區上海路２０２號十三樓,16.4,都市：其他:商業區,,,1100829,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950213,112.72,3,2,2,有,有,5300000,47019,,0.0,0,陽台外推；其他增建；,RPQOMLPKIIGGFGH28EA,72.91,15.66,0.0,有,413.0
平鎮區,房地(土地+建物)+車位,桃園市平鎮區延平路二段５號七樓,12.42,都市：其他:住宅區,,,1100703,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001215,167.82999999999998,2,2,2,有,有,11500000,73768,坡道平面,32.27,1500000,陽台外推；其他增建；,RPROMLPKIIGGFGH38EA,75.49,19.5,0.0,有,414.0
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中正三路７５號五樓,17.26,都市：其他:商業區,,,1100910,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040930,185.28,3,2,2,有,有,12060000,74211,坡道平面,38.94,1200000,,RPSOMLPKIIGGFGH48EA,86.21,12.53,0.0,有,415.0
龜山區,房地(土地+建物)+車位,桃園市龜山區文化二路３４巷１４弄２２號七樓之１,15.8,都市：其他:中心商業區,,,1100829,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011007,178.15,3,2,2,有,有,16600000,93180,坡道平面,0.0,1600000,,RPQSMLOKIIGGFHH68EA,81.46,22.1,0.0,有,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區中山北路一段４９４巷９０號八樓,22.84,都市：其他:住宅區,,,1100719,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080712,197.43,3,2,2,有,有,9000000,45586,坡道平面,0.0,0,,RPPOMLLLIIGGFDH57EA,77.79,8.63,0.0,有,420.0
中壢區,房地(土地+建物)+車位,桃園市中壢區青商路２６２號六樓,18.62,都市：其他:住宅區,,,1100911,土地1建物1車位1,六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061225,129.14,2,2,1,有,有,14050000,108797,坡道平面,0.0,0,,RPRQMLPKIIGGFBH08EA,55.99,4.8,0.0,有,422.0
龍潭區,房地(土地+建物)+車位,桃園市龍潭區中正路２６１巷８３之１號十七樓,21.32,都市：其他:住宅區,,,1100528,土地2建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100621,152.55,2,2,2,有,有,11000000,77279,坡道平面,27.03,1300000,預售屋、或土地及建物分件登記案件；,RPWNMLNKIIGGFCH18EA,74.89,5.69,0.0,有,
桃園區,房地(土地+建物),桃園市桃園區向善街４５號九樓,10.65,都市：其他:住宅區,,,1100829,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840704,64.89,1,2,1,有,有,4200000,64725,,0.0,0,陽台外推；,RPVQMLSKIIGGFAH68EA,41.92,9.72,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區莊敬路一段１８１巷１０號十一樓之三,21.49,都市：其他:住宅區,,,1100928,土地1建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840519,155.04000000000002,3,2,2,有,有,9100000,58698,坡道平面,0.0,0,,RPSRMLPKIIGGFAH18EA,81.65,11.05,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區中華路５８之１號十六樓,19.57,都市：其他:商業區,,,1100905,土地1建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070910,197.88,4,2,2,有,有,23500000,118759,坡道平面,0.0,0,,RPUOMLOKIIGGFAH97EA,100.85,13.26,0.0,有,424.0
